run_id,tolerance,wall_time_s,residual_norm,relative_residual
1,0.01,0.010628374991938472,0.009942586413128894,0.0009394861084967412
2,0.01,0.0002583330497145653,0.009942586413128894,0.0009394861084967412
3,0.01,0.00023854197934269905,0.009942586413128894,0.0009394861084967412
4,0.01,0.00023116706870496273,0.009942586413128894,0.0009394861084967412
5,0.01,0.00023083295673131943,0.009942586413128894,0.0009394861084967412
6,0.01,0.0002707920502871275,0.009942586413128894,0.0009394861084967412
7,0.01,0.0002518750261515379,0.009942586413128894,0.0009394861084967412
8,0.01,0.0002776249311864376,0.009942586413128894,0.0009394861084967412
9,0.01,0.00024816603399813175,0.009942586413128894,0.0009394861084967412
10,0.01,0.0002442500554025173,0.009942586413128894,0.0009394861084967412
11,0.0001,0.00024395808577537537,2.739432609523501e-05,2.5885205065071054e-06
12,0.0001,0.0003243749961256981,2.739432609523501e-05,2.5885205065071054e-06
13,0.0001,0.00026424997486174107,2.739432609523501e-05,2.5885205065071054e-06
14,0.0001,0.00025291694328188896,2.739432609523501e-05,2.5885205065071054e-06
15,0.0001,0.00026424997486174107,2.739432609523501e-05,2.5885205065071054e-06
16,0.0001,0.00025250017642974854,2.739432609523501e-05,2.5885205065071054e-06
17,0.0001,0.0002483748830854893,2.739432609523501e-05,2.5885205065071054e-06
18,0.0001,0.00024820794351398945,2.739432609523501e-05,2.5885205065071054e-06
19,0.0001,0.0002435839269310236,2.739432609523501e-05,2.5885205065071054e-06
20,0.0001,0.0002541670110076666,2.739432609523501e-05,2.5885205065071054e-06
21,1e-06,0.00025141588412225246,5.752423357496439e-06,5.435529157105278e-07
22,1e-06,0.00026658386923372746,5.752423357496439e-06,5.435529157105278e-07
23,1e-06,0.00025829183869063854,5.752423357496439e-06,5.435529157105278e-07
24,1e-06,0.0002513329964131117,5.752423357496439e-06,5.435529157105278e-07
25,1e-06,0.00025070784613490105,5.752423357496439e-06,5.435529157105278e-07
26,1e-06,0.0002891251351684332,5.752423357496439e-06,5.435529157105278e-07
27,1e-06,0.0002917088568210602,5.752423357496439e-06,5.435529157105278e-07
28,1e-06,0.00025937496684491634,5.752423357496439e-06,5.435529157105278e-07
29,1e-06,0.0002807909622788429,5.752423357496439e-06,5.435529157105278e-07
30,1e-06,0.00028791697695851326,5.752423357496439e-06,5.435529157105278e-07
31,1e-08,0.0002716248854994774,4.253033411095034e-11,4.0187388297879266e-12
32,1e-08,0.000273499870672822,4.253033411095034e-11,4.0187388297879266e-12
33,1e-08,0.0002664579078555107,4.253033411095034e-11,4.0187388297879266e-12
34,1e-08,0.00026654195971786976,4.253033411095034e-11,4.0187388297879266e-12
35,1e-08,0.0002668329980224371,4.253033411095034e-11,4.0187388297879266e-12
36,1e-08,0.00026862509548664093,4.253033411095034e-11,4.0187388297879266e-12
37,1e-08,0.0003393329679965973,4.253033411095034e-11,4.0187388297879266e-12
38,1e-08,0.00030891713686287403,4.253033411095034e-11,4.0187388297879266e-12
39,1e-08,0.0002819579094648361,4.253033411095034e-11,4.0187388297879266e-12
40,1e-08,0.00027674995362758636,4.253033411095034e-11,4.0187388297879266e-12
41,1e-10,0.00026895804330706596,4.253033411095034e-11,4.0187388297879266e-12
42,1e-10,0.00026704207994043827,4.253033411095034e-11,4.0187388297879266e-12
43,1e-10,0.0002839588560163975,4.253033411095034e-11,4.0187388297879266e-12
44,1e-10,0.0003137500025331974,4.253033411095034e-11,4.0187388297879266e-12
45,1e-10,0.0002978330012410879,4.253033411095034e-11,4.0187388297879266e-12
46,1e-10,0.00029533286578953266,4.253033411095034e-11,4.0187388297879266e-12
47,1e-10,0.00032045901753008366,4.253033411095034e-11,4.0187388297879266e-12
48,1e-10,0.0002745420206338167,4.253033411095034e-11,4.0187388297879266e-12
49,1e-10,0.00027008308097720146,4.253033411095034e-11,4.0187388297879266e-12
50,1e-10,0.0002996248658746481,4.253033411095034e-11,4.0187388297879266e-12
