run_id,tolerance,wall_time_s,residual_norm,relative_residual
1,0.01,0.000514291925355792,0.044355785272577476,0.003585952701687317
2,0.01,0.00015366682782769203,0.044355785272577476,0.003585952701687317
3,0.01,0.0001514169853180647,0.044355785272577476,0.003585952701687317
4,0.01,0.00014787493273615837,0.044355785272577476,0.003585952701687317
5,0.01,0.00014766701497137547,0.044355785272577476,0.003585952701687317
6,0.01,0.00014774990268051624,0.044355785272577476,0.003585952701687317
7,0.01,0.00017508305609226227,0.044355785272577476,0.003585952701687317
8,0.01,0.00015370897017419338,0.044355785272577476,0.003585952701687317
9,0.01,0.00015083304606378078,0.044355785272577476,0.003585952701687317
10,0.01,0.00014866585843265057,0.044355785272577476,0.003585952701687317
11,0.0001,0.00021070800721645355,0.0012199978073379684,9.863097691522331e-05
12,0.0001,0.00014733290299773216,0.0012199978073379684,9.863097691522331e-05
13,0.0001,0.00014741718769073486,0.0012199978073379684,9.863097691522331e-05
14,0.0001,0.00014579202979803085,0.0012199978073379684,9.863097691522331e-05
15,0.0001,0.0001467089168727398,0.0012199978073379684,9.863097691522331e-05
16,0.0001,0.00014670798555016518,0.0012199978073379684,9.863097691522331e-05
17,0.0001,0.00020524999126791954,0.0012199978073379684,9.863097691522331e-05
18,0.0001,0.00017208396457135677,0.0012199978073379684,9.863097691522331e-05
19,0.0001,0.00015037483535706997,0.0012199978073379684,9.863097691522331e-05
20,0.0001,0.00014670798555016518,0.0012199978073379684,9.863097691522331e-05
21,1e-06,0.00038012489676475525,1.218794813922864e-05,9.8533720661941e-07
22,1e-06,0.00014654221013188362,1.218794813922864e-05,9.8533720661941e-07
23,1e-06,0.00014575012028217316,1.218794813922864e-05,9.8533720661941e-07
24,1e-06,0.00016266712918877602,1.218794813922864e-05,9.8533720661941e-07
25,1e-06,0.00015058391727507114,1.218794813922864e-05,9.8533720661941e-07
26,1e-06,0.000147542217746377,1.218794813922864e-05,9.8533720661941e-07
27,1e-06,0.00014658295549452305,1.218794813922864e-05,9.8533720661941e-07
28,1e-06,0.00014654104597866535,1.218794813922864e-05,9.8533720661941e-07
29,1e-06,0.0001460839994251728,1.218794813922864e-05,9.8533720661941e-07
30,1e-06,0.00014725001528859138,1.218794813922864e-05,9.8533720661941e-07
31,1e-08,0.00045933318324387074,9.174495315388665e-08,7.417139852368996e-09
32,1e-08,0.00019404105842113495,9.174495315388665e-08,7.417139852368996e-09
33,1e-08,0.00014908402226865292,9.174495315388665e-08,7.417139852368996e-09
34,1e-08,0.00014650006778538227,9.174495315388665e-08,7.417139852368996e-09
35,1e-08,0.00014633405953645706,9.174495315388665e-08,7.417139852368996e-09
36,1e-08,0.0001455000601708889,9.174495315388665e-08,7.417139852368996e-09
37,1e-08,0.00014525000005960464,9.174495315388665e-08,7.417139852368996e-09
38,1e-08,0.0001460420899093151,9.174495315388665e-08,7.417139852368996e-09
39,1e-08,0.00014537503011524677,9.174495315388665e-08,7.417139852368996e-09
40,1e-08,0.00014708400703966618,9.174495315388665e-08,7.417139852368996e-09
41,1e-10,0.00034391717053949833,8.449088353850842e-10,6.830683082961385e-11
42,1e-10,0.00017179199494421482,8.449088353850842e-10,6.830683082961385e-11
43,1e-10,0.00015308312140405178,8.449088353850842e-10,6.830683082961385e-11
44,1e-10,0.00015129218809306622,8.449088353850842e-10,6.830683082961385e-11
45,1e-10,0.0001474169548600912,8.449088353850842e-10,6.830683082961385e-11
46,1e-10,0.00016287504695355892,8.449088353850842e-10,6.830683082961385e-11
47,1e-10,0.0001521250233054161,8.449088353850842e-10,6.830683082961385e-11
48,1e-10,0.00014979089610278606,8.449088353850842e-10,6.830683082961385e-11
49,1e-10,0.00015012500807642937,8.449088353850842e-10,6.830683082961385e-11
50,1e-10,0.0001471252180635929,8.449088353850842e-10,6.830683082961385e-11
