run_id,preconditioner,tolerance,wall_time_s,residual_norm,relative_residual
1,preconditioner::Jacobi,1e-06,0.014787874883040786,1.8042340848188795e-06,2.6041875863781956e-07
2,preconditioner::Jacobi,1e-06,0.00022508297115564346,1.8042340848188795e-06,2.6041875863781956e-07
3,preconditioner::Jacobi,1e-06,0.00017391680739820004,1.8042340848188795e-06,2.6041875863781956e-07
4,preconditioner::Jacobi,1e-06,0.00012462493032217026,1.8042340848188795e-06,2.6041875863781956e-07
5,preconditioner::Jacobi,1e-06,0.00010408391244709492,1.8042340848188795e-06,2.6041875863781956e-07
6,preconditioner::Jacobi,1e-06,9.629200212657452e-05,1.8042340848188795e-06,2.6041875863781956e-07
7,preconditioner::Jacobi,1e-06,0.00012587499804794788,1.8042340848188795e-06,2.6041875863781956e-07
8,preconditioner::Jacobi,1e-06,9.279209189116955e-05,1.8042340848188795e-06,2.6041875863781956e-07
9,preconditioner::Jacobi,1e-06,0.0001296249683946371,1.8042340848188795e-06,2.6041875863781956e-07
10,preconditioner::Jacobi,1e-06,9.537511505186558e-05,1.8042340848188795e-06,2.6041875863781956e-07
11,preconditioner::Ic,1e-06,0.0050159168895334005,1.8042340848188795e-06,2.6041875863781956e-07
12,preconditioner::Ic,1e-06,0.0001243329606950283,1.8042340848188795e-06,2.6041875863781956e-07
13,preconditioner::Ic,1e-06,9.183306246995926e-05,1.8042340848188795e-06,2.6041875863781956e-07
14,preconditioner::Ic,1e-06,0.00016487506218254566,1.8042340848188795e-06,2.6041875863781956e-07
15,preconditioner::Ic,1e-06,0.00011295895092189312,1.8042340848188795e-06,2.6041875863781956e-07
16,preconditioner::Ic,1e-06,0.00012416602112352848,1.8042340848188795e-06,2.6041875863781956e-07
17,preconditioner::Ic,1e-06,9.162514470517635e-05,1.8042340848188795e-06,2.6041875863781956e-07
18,preconditioner::Ic,1e-06,0.00010341685265302658,1.8042340848188795e-06,2.6041875863781956e-07
19,preconditioner::Ic,1e-06,8.716597221791744e-05,1.8042340848188795e-06,2.6041875863781956e-07
20,preconditioner::Ic,1e-06,9.04998742043972e-05,1.8042340848188795e-06,2.6041875863781956e-07
21,preconditioner::Ilu,1e-06,0.0026779999025166035,1.8042340848188795e-06,2.6041875863781956e-07
22,preconditioner::Ilu,1e-06,0.00011812499724328518,1.8042340848188795e-06,2.6041875863781956e-07
23,preconditioner::Ilu,1e-06,0.00014037499204277992,1.8042340848188795e-06,2.6041875863781956e-07
24,preconditioner::Ilu,1e-06,0.00019291695207357407,1.8042340848188795e-06,2.6041875863781956e-07
25,preconditioner::Ilu,1e-06,0.00013224990107119083,1.8042340848188795e-06,2.6041875863781956e-07
26,preconditioner::Ilu,1e-06,0.0005223751068115234,1.8042340848188795e-06,2.6041875863781956e-07
27,preconditioner::Ilu,1e-06,0.0005054159555584192,1.8042340848188795e-06,2.6041875863781956e-07
28,preconditioner::Ilu,1e-06,0.00010358402505517006,1.8042340848188795e-06,2.6041875863781956e-07
29,preconditioner::Ilu,1e-06,0.00011466699652373791,1.8042340848188795e-06,2.6041875863781956e-07
30,preconditioner::Ilu,1e-06,0.00011679204180836678,1.8042340848188795e-06,2.6041875863781956e-07
