run_id,preconditioner,tolerance,wall_time_s,residual_norm,relative_residual
1,preconditioner::Jacobi,1e-06,0.0005096248351037502,6.507245817485126e-08,8.00986589843271e-09
2,preconditioner::Jacobi,1e-06,0.00017991592176258564,6.507245817485126e-08,8.00986589843271e-09
3,preconditioner::Jacobi,1e-06,0.0002106658648699522,6.507245817485126e-08,8.00986589843271e-09
4,preconditioner::Jacobi,1e-06,0.0001377500593662262,6.507245817485126e-08,8.00986589843271e-09
5,preconditioner::Jacobi,1e-06,0.00019229110330343246,6.507245817485126e-08,8.00986589843271e-09
6,preconditioner::Jacobi,1e-06,0.00028370809741318226,6.507245817485126e-08,8.00986589843271e-09
7,preconditioner::Jacobi,1e-06,0.00012954184785485268,6.507245817485126e-08,8.00986589843271e-09
8,preconditioner::Jacobi,1e-06,0.0001735419500619173,6.507245817485126e-08,8.00986589843271e-09
9,preconditioner::Jacobi,1e-06,0.00016016606241464615,6.507245817485126e-08,8.00986589843271e-09
10,preconditioner::Jacobi,1e-06,0.00013862503692507744,6.507245817485126e-08,8.00986589843271e-09
11,preconditioner::Ic,1e-06,0.0002519169356673956,6.507245817485126e-08,8.00986589843271e-09
12,preconditioner::Ic,1e-06,0.0002202081959694624,6.507245817485126e-08,8.00986589843271e-09
13,preconditioner::Ic,1e-06,0.00021104211919009686,6.507245817485126e-08,8.00986589843271e-09
14,preconditioner::Ic,1e-06,0.00024962518364191055,6.507245817485126e-08,8.00986589843271e-09
15,preconditioner::Ic,1e-06,0.0002359999343752861,6.507245817485126e-08,8.00986589843271e-09
16,preconditioner::Ic,1e-06,0.00022849999368190765,6.507245817485126e-08,8.00986589843271e-09
17,preconditioner::Ic,1e-06,0.000336499884724617,6.507245817485126e-08,8.00986589843271e-09
18,preconditioner::Ic,1e-06,0.000257750041782856,6.507245817485126e-08,8.00986589843271e-09
19,preconditioner::Ic,1e-06,0.00025220797397196293,6.507245817485126e-08,8.00986589843271e-09
20,preconditioner::Ic,1e-06,0.00022033392451703548,6.507245817485126e-08,8.00986589843271e-09
21,preconditioner::Ilu,1e-06,0.0003142501227557659,6.507245817485126e-08,8.00986589843271e-09
22,preconditioner::Ilu,1e-06,0.0007526250556111336,6.507245817485126e-08,8.00986589843271e-09
23,preconditioner::Ilu,1e-06,0.00031258282251656055,6.507245817485126e-08,8.00986589843271e-09
24,preconditioner::Ilu,1e-06,0.0003789591137319803,6.507245817485126e-08,8.00986589843271e-09
25,preconditioner::Ilu,1e-06,0.00044212513603270054,6.507245817485126e-08,8.00986589843271e-09
26,preconditioner::Ilu,1e-06,0.0002975419629365206,6.507245817485126e-08,8.00986589843271e-09
27,preconditioner::Ilu,1e-06,0.00031212507747113705,6.507245817485126e-08,8.00986589843271e-09
28,preconditioner::Ilu,1e-06,0.00029229186475276947,6.507245817485126e-08,8.00986589843271e-09
29,preconditioner::Ilu,1e-06,0.00030800001695752144,6.507245817485126e-08,8.00986589843271e-09
30,preconditioner::Ilu,1e-06,0.0002997079864144325,6.507245817485126e-08,8.00986589843271e-09
