run_id,preconditioner,tolerance,wall_time_s,residual_norm,relative_residual
1,preconditioner::Jacobi,1e-06,0.019636542070657015,3.9259144853064756e-05,9.238085183756607e-07
2,preconditioner::Jacobi,1e-06,0.0016863748896867037,3.9259144853064756e-05,9.238085183756607e-07
3,preconditioner::Jacobi,1e-06,0.0017192501109093428,3.9259144853064756e-05,9.238085183756607e-07
4,preconditioner::Jacobi,1e-06,0.0015542081091552973,3.9259144853064756e-05,9.238085183756607e-07
5,preconditioner::Jacobi,1e-06,0.0022178750950843096,3.9259144853064756e-05,9.238085183756607e-07
6,preconditioner::Jacobi,1e-06,0.0015837501268833876,3.9259144853064756e-05,9.238085183756607e-07
7,preconditioner::Jacobi,1e-06,0.013999499846249819,3.9259144853064756e-05,9.238085183756607e-07
8,preconditioner::Jacobi,1e-06,0.0016702499706298113,3.9259144853064756e-05,9.238085183756607e-07
9,preconditioner::Jacobi,1e-06,0.0015002090949565172,3.9259144853064756e-05,9.238085183756607e-07
10,preconditioner::Jacobi,1e-06,0.0015634580049663782,3.9259144853064756e-05,9.238085183756607e-07
11,preconditioner::Ic,1e-06,0.002534500090405345,3.9259144853064756e-05,9.238085183756607e-07
12,preconditioner::Ic,1e-06,0.002596374833956361,3.9259144853064756e-05,9.238085183756607e-07
13,preconditioner::Ic,1e-06,0.0030830830801278353,3.9259144853064756e-05,9.238085183756607e-07
14,preconditioner::Ic,1e-06,0.002457832917571068,3.9259144853064756e-05,9.238085183756607e-07
15,preconditioner::Ic,1e-06,0.003586666891351342,3.9259144853064756e-05,9.238085183756607e-07
16,preconditioner::Ic,1e-06,0.0027777079958468676,3.9259144853064756e-05,9.238085183756607e-07
17,preconditioner::Ic,1e-06,0.0023943339474499226,3.9259144853064756e-05,9.238085183756607e-07
18,preconditioner::Ic,1e-06,0.002579958876594901,3.9259144853064756e-05,9.238085183756607e-07
19,preconditioner::Ic,1e-06,0.003319124924018979,3.9259144853064756e-05,9.238085183756607e-07
20,preconditioner::Ic,1e-06,0.0025556660257279873,3.9259144853064756e-05,9.238085183756607e-07
21,preconditioner::Ilu,1e-06,0.0046934999991208315,3.9259144853064756e-05,9.238085183756607e-07
22,preconditioner::Ilu,1e-06,0.004714583046734333,3.9259144853064756e-05,9.238085183756607e-07
23,preconditioner::Ilu,1e-06,0.004964333958923817,3.9259144853064756e-05,9.238085183756607e-07
24,preconditioner::Ilu,1e-06,0.005709249991923571,3.9259144853064756e-05,9.238085183756607e-07
25,preconditioner::Ilu,1e-06,0.0044925829861313105,3.9259144853064756e-05,9.238085183756607e-07
26,preconditioner::Ilu,1e-06,0.004510459024459124,3.9259144853064756e-05,9.238085183756607e-07
27,preconditioner::Ilu,1e-06,0.00467841699719429,3.9259144853064756e-05,9.238085183756607e-07
28,preconditioner::Ilu,1e-06,0.004517749883234501,3.9259144853064756e-05,9.238085183756607e-07
29,preconditioner::Ilu,1e-06,0.0044782080221921206,3.9259144853064756e-05,9.238085183756607e-07
30,preconditioner::Ilu,1e-06,0.00464504212141037,3.9259144853064756e-05,9.238085183756607e-07
