run_id,preconditioner,tolerance,wall_time_s,residual_norm,relative_residual
1,preconditioner::Jacobi,1e-06,0.0387015831656754,2.2743184542752914e-05,5.925839736974314e-07
2,preconditioner::Jacobi,1e-06,0.0011473330669105053,2.2743184542752914e-05,5.925839736974314e-07
3,preconditioner::Jacobi,1e-06,0.0011862909886986017,2.2743184542752914e-05,5.925839736974314e-07
4,preconditioner::Jacobi,1e-06,0.0010311668738722801,2.2743184542752914e-05,5.925839736974314e-07
5,preconditioner::Jacobi,1e-06,0.0013473331928253174,2.2743184542752914e-05,5.925839736974314e-07
6,preconditioner::Jacobi,1e-06,0.001104207942262292,2.2743184542752914e-05,5.925839736974314e-07
7,preconditioner::Jacobi,1e-06,0.0012153750285506248,2.2743184542752914e-05,5.925839736974314e-07
8,preconditioner::Jacobi,1e-06,0.0009815001394599676,2.2743184542752914e-05,5.925839736974314e-07
9,preconditioner::Jacobi,1e-06,0.0013937500771135092,2.2743184542752914e-05,5.925839736974314e-07
10,preconditioner::Jacobi,1e-06,0.001013666857033968,2.2743184542752914e-05,5.925839736974314e-07
11,preconditioner::Ic,1e-06,0.0008914999198168516,2.2743184542752914e-05,5.925839736974314e-07
12,preconditioner::Ic,1e-06,0.001144499983638525,2.2743184542752914e-05,5.925839736974314e-07
13,preconditioner::Ic,1e-06,0.0008800418581813574,2.2743184542752914e-05,5.925839736974314e-07
14,preconditioner::Ic,1e-06,0.0009860829450190067,2.2743184542752914e-05,5.925839736974314e-07
15,preconditioner::Ic,1e-06,0.000937208067625761,2.2743184542752914e-05,5.925839736974314e-07
16,preconditioner::Ic,1e-06,0.0010022919159382582,2.2743184542752914e-05,5.925839736974314e-07
17,preconditioner::Ic,1e-06,0.0007993329782038927,2.2743184542752914e-05,5.925839736974314e-07
18,preconditioner::Ic,1e-06,0.000995042035356164,2.2743184542752914e-05,5.925839736974314e-07
19,preconditioner::Ic,1e-06,0.0009377079550176859,2.2743184542752914e-05,5.925839736974314e-07
20,preconditioner::Ic,1e-06,0.0011117919348180294,2.2743184542752914e-05,5.925839736974314e-07
21,preconditioner::Ilu,1e-06,0.0014297498855739832,2.2743184542752914e-05,5.925839736974314e-07
22,preconditioner::Ilu,1e-06,0.0014159160200506449,2.2743184542752914e-05,5.925839736974314e-07
23,preconditioner::Ilu,1e-06,0.0015392079949378967,2.2743184542752914e-05,5.925839736974314e-07
24,preconditioner::Ilu,1e-06,0.0017585000023245811,2.2743184542752914e-05,5.925839736974314e-07
25,preconditioner::Ilu,1e-06,0.0013515001628547907,2.2743184542752914e-05,5.925839736974314e-07
26,preconditioner::Ilu,1e-06,0.001391249941661954,2.2743184542752914e-05,5.925839736974314e-07
27,preconditioner::Ilu,1e-06,0.001257333904504776,2.2743184542752914e-05,5.925839736974314e-07
28,preconditioner::Ilu,1e-06,0.0015514581464231014,2.2743184542752914e-05,5.925839736974314e-07
29,preconditioner::Ilu,1e-06,0.001304541015997529,2.2743184542752914e-05,5.925839736974314e-07
30,preconditioner::Ilu,1e-06,0.0012360410764813423,2.2743184542752914e-05,5.925839736974314e-07
