run_id,preconditioner,tolerance,wall_time_s,residual_norm,relative_residual
1,preconditioner::Jacobi,1e-06,0.3510607499629259,0.001660643152099104,1.519248135338839e-05
2,preconditioner::Jacobi,1e-06,0.05824233312159777,0.00010695920030754428,9.785218782203033e-07
3,preconditioner::Jacobi,1e-06,0.009064375190064311,0.00010695920030754428,9.785218782203033e-07
4,preconditioner::Jacobi,1e-06,0.010162291815504432,0.00010695920030754428,9.785218782203033e-07
5,preconditioner::Jacobi,1e-06,0.009721416980028152,0.00010695920030754428,9.785218782203033e-07
6,preconditioner::Jacobi,1e-06,0.008877832908183336,0.00010695920030754428,9.785218782203033e-07
7,preconditioner::Jacobi,1e-06,0.00869387504644692,0.00010695920030754428,9.785218782203033e-07
8,preconditioner::Jacobi,1e-06,0.008547666016966105,0.00010695920030754428,9.785218782203033e-07
9,preconditioner::Jacobi,1e-06,0.008467624895274639,0.00010695920030754428,9.785218782203033e-07
10,preconditioner::Jacobi,1e-06,0.009040415985509753,0.00010695920030754428,9.785218782203033e-07
11,preconditioner::Ic,1e-06,0.0048876251094043255,0.00010695920030754428,9.785218782203033e-07
12,preconditioner::Ic,1e-06,0.00480800005607307,0.00010695920030754428,9.785218782203033e-07
13,preconditioner::Ic,1e-06,0.004757666029036045,0.00010695920030754428,9.785218782203033e-07
14,preconditioner::Ic,1e-06,0.00489283399656415,0.00010695920030754428,9.785218782203033e-07
15,preconditioner::Ic,1e-06,0.004552291939035058,0.00010695920030754428,9.785218782203033e-07
16,preconditioner::Ic,1e-06,0.00455445796251297,0.00010695920030754428,9.785218782203033e-07
17,preconditioner::Ic,1e-06,0.004691707901656628,0.00010695920030754428,9.785218782203033e-07
18,preconditioner::Ic,1e-06,0.004615250043570995,0.00010695920030754428,9.785218782203033e-07
19,preconditioner::Ic,1e-06,0.004671082831919193,0.00010695920030754428,9.785218782203033e-07
20,preconditioner::Ic,1e-06,0.0049644578248262405,0.00010695920030754428,9.785218782203033e-07
21,preconditioner::Ilu,1e-06,0.00814966601319611,0.00010695920030754428,9.785218782203033e-07
22,preconditioner::Ilu,1e-06,0.008267333963885903,0.00010695920030754428,9.785218782203033e-07
23,preconditioner::Ilu,1e-06,0.008318415842950344,0.00010695920030754428,9.785218782203033e-07
24,preconditioner::Ilu,1e-06,0.008265708107501268,0.00010695920030754428,9.785218782203033e-07
25,preconditioner::Ilu,1e-06,0.008513499982655048,0.00010695920030754428,9.785218782203033e-07
26,preconditioner::Ilu,1e-06,0.008026666007936,0.00010695920030754428,9.785218782203033e-07
27,preconditioner::Ilu,1e-06,0.009356040973216295,0.00010695920030754428,9.785218782203033e-07
28,preconditioner::Ilu,1e-06,0.008025167044252157,0.00010695920030754428,9.785218782203033e-07
29,preconditioner::Ilu,1e-06,0.00848108297213912,0.00010695920030754428,9.785218782203033e-07
30,preconditioner::Ilu,1e-06,0.00876254215836525,0.00010695920030754428,9.785218782203033e-07
