run_id,preconditioner,tolerance,wall_time_s,residual_norm,relative_residual
1,preconditioner::Jacobi,1e-06,0.000761707779020071,8.217725513920772e-06,7.152611973753302e-07
2,preconditioner::Jacobi,1e-06,0.0002079589758068323,8.217725513920772e-06,7.152611973753302e-07
3,preconditioner::Jacobi,1e-06,0.0001784579362720251,8.217725513920772e-06,7.152611973753302e-07
4,preconditioner::Jacobi,1e-06,0.0001644589938223362,8.217725513920772e-06,7.152611973753302e-07
5,preconditioner::Jacobi,1e-06,0.00023912498727440834,8.217725513920772e-06,7.152611973753302e-07
6,preconditioner::Jacobi,1e-06,0.00015541701577603817,8.217725513920772e-06,7.152611973753302e-07
7,preconditioner::Jacobi,1e-06,0.00017895898781716824,8.217725513920772e-06,7.152611973753302e-07
8,preconditioner::Jacobi,1e-06,0.000264208996668458,8.217725513920772e-06,7.152611973753302e-07
9,preconditioner::Jacobi,1e-06,0.00037875003181397915,8.217725513920772e-06,7.152611973753302e-07
10,preconditioner::Jacobi,1e-06,0.0003247500862926245,8.217725513920772e-06,7.152611973753302e-07
11,preconditioner::Ic,1e-06,0.00033829198218882084,8.217725513920772e-06,7.152611973753302e-07
12,preconditioner::Ic,1e-06,0.0002199159935116768,8.217725513920772e-06,7.152611973753302e-07
13,preconditioner::Ic,1e-06,0.00032537500374019146,8.217725513920772e-06,7.152611973753302e-07
14,preconditioner::Ic,1e-06,0.00024391594342887402,8.217725513920772e-06,7.152611973753302e-07
15,preconditioner::Ic,1e-06,0.00020879111252725124,8.217725513920772e-06,7.152611973753302e-07
16,preconditioner::Ic,1e-06,0.0002487502060830593,8.217725513920772e-06,7.152611973753302e-07
17,preconditioner::Ic,1e-06,0.00020004110410809517,8.217725513920772e-06,7.152611973753302e-07
18,preconditioner::Ic,1e-06,0.00019437517039477825,8.217725513920772e-06,7.152611973753302e-07
19,preconditioner::Ic,1e-06,0.00019025010988116264,8.217725513920772e-06,7.152611973753302e-07
20,preconditioner::Ic,1e-06,0.00022224988788366318,8.217725513920772e-06,7.152611973753302e-07
21,preconditioner::Ilu,1e-06,0.00071387505158782,8.217725513920772e-06,7.152611973753302e-07
22,preconditioner::Ilu,1e-06,0.0003374170046299696,8.217725513920772e-06,7.152611973753302e-07
23,preconditioner::Ilu,1e-06,0.00032716686837375164,8.217725513920772e-06,7.152611973753302e-07
24,preconditioner::Ilu,1e-06,0.0002789159771054983,8.217725513920772e-06,7.152611973753302e-07
25,preconditioner::Ilu,1e-06,0.0002947920002043247,8.217725513920772e-06,7.152611973753302e-07
26,preconditioner::Ilu,1e-06,0.00026708305813372135,8.217725513920772e-06,7.152611973753302e-07
27,preconditioner::Ilu,1e-06,0.00038045807741582394,8.217725513920772e-06,7.152611973753302e-07
28,preconditioner::Ilu,1e-06,0.00036983308382332325,8.217725513920772e-06,7.152611973753302e-07
29,preconditioner::Ilu,1e-06,0.00036208308301866055,8.217725513920772e-06,7.152611973753302e-07
30,preconditioner::Ilu,1e-06,0.0003008341882377863,8.217725513920772e-06,7.152611973753302e-07
